cluster_id,n_cells,area_km2,centroid_lat,centroid_lon,mean_ba,max_ba,mean_ratio,pct_genuine_ors,dominant_period,dominant_formation
283,4,1.0,54.53203091877057,-6.983261991513885,1035.8773,1045.9152,20.018692,100.0,DEVONIAN,FINTONA GROUP
401,4,1.0,51.765207243015865,-3.53018242090596,1059.3029,1093.684,19.247023,0.0,CARBONIFEROUS,DINANTIAN ROCKS (UNDIFFERENTIATED)
47,4,1.0,57.525359878300364,-3.320765952881696,1262.9364,1269.1963,14.576222,0.0,NONE,GRAMPIAN GROUP
37,4,1.0,57.5302759425297,-5.6410377509704706,1238.1194,1239.9946,15.336367,0.0,NONE,LEWISIAN COMPLEX
203,4,1.0,55.72892776609207,-4.822197667928215,1059.0842,1096.3164,14.923276,0.0,CARBONIFEROUS,"UNNAMED IGNEOUS INTRUSION, CARBONIFEROUS TO PERMIAN"
320,4,1.0,53.74288202766255,-1.2869683294874463,1030.6094,1034.4255,15.004317,0.0,PERMIAN,ZECHSTEIN GROUP
243,4,1.0,54.85212868432275,-7.207943106966912,1060.4435,1074.0656,16.148497,0.0,NONE,ARGYLL GROUP
229,4,1.0,55.30976699922699,-1.8676395269985697,1195.2715,1211.7334,14.479257,0.0,CARBONIFEROUS,BORDER GROUP
158,4,1.0,56.25887977721625,-5.61416980709169,1105.3098,1106.8586,14.545949,0.0,NONE,ARGYLL GROUP
185,4,1.0,55.89393154688895,-4.100392002727861,1048.0944,1074.3988,19.452572,0.0,CARBONIFEROUS,CLACKMANNAN GROUP
124,4,1.0,56.670386794354414,-4.620853228509638,1036.3757,1037.326,20.687157,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
72,4,1.0,57.27707162476066,-3.6187141388268307,1279.7289,1302.5294,14.2183485,0.0,NONE,GRAMPIAN GROUP
56,4,1.0,57.46977071110064,-3.737697617902132,1075.1079,1076.8077,14.2874155,0.0,ORDOVICIAN,"UNNAMED IGNEOUS INTRUSION, ORDOVICIAN TO SILURIAN"
197,3,0.75,55.76039346939887,-4.756054128001028,1110.7482,1128.615,14.458828,0.0,CARBONIFEROUS,"UNNAMED EXTRUSIVE ROCKS, DINANTIAN"
